                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76138,                 1.2068,                 1.3008,                0.72315,                0.70208,                0.79298,                0.63506,                0.74149,                 1.3616,                 1.0389,             0.00074804,             0.00074804,             0.00074804
                     36,                0.77299,                 1.2027,                 1.3091,                0.71212,                0.72774,                0.80832,                 0.6405,                0.72035,                 1.1319,                 1.0113,             0.00073704,             0.00073704,             0.00073704
                     37,                 0.7692,                 1.1636,                 1.2972,                0.90379,                0.60453,                0.83816,                0.67159,                0.71585,                 1.1474,                0.98506,             0.00072604,             0.00072604,             0.00072604
                     38,                0.76779,                 1.1226,                  1.299,                0.63609,                0.75761,                0.77045,                0.59526,                0.76393,                 1.1014,                 1.0134,             0.00071504,             0.00071504,             0.00071504
                     39,                0.74872,                 1.1482,                 1.2773,                0.65339,                0.75116,                0.77173,                0.60481,                0.75604,                 1.2242,                 1.0272,             0.00070404,             0.00070404,             0.00070404
                     40,                0.73638,                 1.0973,                 1.2732,                0.83535,                0.74931,                0.87139,                0.70107,                0.67794,                0.89833,                0.95695,             0.00069304,             0.00069304,             0.00069304
                     41,                0.72542,                 1.0997,                 1.2748,                0.75253,                0.77326,                0.85664,                0.68955,                0.74369,                 1.0397,                 1.0005,             0.00068204,             0.00068204,             0.00068204
                     42,                0.75815,                 1.1056,                 1.2961,                0.72434,                0.70901,                0.71462,                 0.5519,                0.78907,                 1.4588,                 1.0421,             0.00067104,             0.00067104,             0.00067104
                     43,                 0.7104,                  1.064,                 1.2552,                0.76473,                 0.8576,                0.86797,                0.70097,                0.71208,                0.90223,                0.98015,             0.00066005,             0.00066005,             0.00066005
                     44,                0.70431,                  1.071,                 1.2534,                0.71858,                0.77743,                0.84053,                0.68572,                0.73524,                 1.0477,                0.99554,             0.00064905,             0.00064905,             0.00064905
                     45,                0.72282,                 1.0612,                 1.2598,                0.73459,                0.80104,                0.86386,                0.70516,                  0.688,                0.96274,                0.95539,             0.00063805,             0.00063805,             0.00063805
                     46,                0.71394,                 1.0307,                 1.2455,                0.86891,                0.80741,                0.90042,                0.74899,                0.68947,                0.92614,                0.96847,             0.00062705,             0.00062705,             0.00062705
